RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
10221,10,Austin,city,TX,TX,"Austin-Round Rock-Georgetown, TX",Travis County,1244.869481,1250.122111,1270.18623,1280.202644,1291.864421,1292.170073,1289.278157,1281.209069,1280.067581,1286.583797,1294.88201,1299.969735,1308.389925,1316.795257,1322.307226,1325.528314,1329.019743,1305.053845,1302.205365,1298.302963,1302.857229,1301.170078,1299.862766,1322.842338,1334.081627,1346.837318,1353.677921,1361.113036,1363.949571,1360.77892,1346.27732,1337.058006,1332.755772,1335.053461,1332.990012,1335.976897,1344.431595,1357.902098,1372.525749,1386.94255,1406.614656,1415.064993,1415.998777,1408.473065,1410.996943,1410.140838,1412.993651,1416.041008,1428.031402,1438.69437,1448.192247,1458.818343,1469.912808,1477.540356,1477.195381,1475.517529,1473.064484,1471.969667,1472.139223,1475.717248,1486.15597,1481.710442,1468.049571,1451.526136,1450.262551,1448.754678,1439.195222,1427.517907,1424.145441,1427.777702,1441.207465,1457.929544,1484.033815,1516.494334,1561.814976,1617.769394,1678.733187,1736.687202,1774.186297,1790.392336,1787.568577,1793.883784,1788.447464,1802.977273,1809.128538,1839.10736,1867.755986,1904.367527,1930.410878,1936.161005,1925.649776,1904.321425,1879.353053,1863.894169
33839,11,San Jose,city,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,2402.986432,2418.792388,2455.760971,2503.880066,2554.396057,2582.82668,2587.402453,2598.179972,2588.089333,2581.421043,2573.637056,2582.329364,2594.381551,2595.160919,2598.271975,2617.816081,2627.784711,2621.673898,2613.236416,2595.408361,2587.778974,2570.16921,2579.197764,2592.373604,2609.625088,2628.927824,2651.850637,2676.575129,2697.462166,2707.214241,2709.99143,2696.2524,2684.645984,2670.242899,2679.213374,2688.789464,2712.013022,2731.629683,2762.091268,2794.824638,2818.009099,2828.857767,2819.170654,2805.297675,2785.50733,2781.707175,2780.231038,2798.816868,2810.559521,2828.010115,2837.686213,2856.589508,2874.275126,2888.846699,2881.285455,2861.171846,2846.796295,2834.489736,2845.780692,2860.123286,2884.927018,2880.029956,2854.922595,2820.280285,2794.264276,2768.78116,2745.143871,2712.395223,2686.388371,2668.181354,2664.091841,2669.32556,2677.389271,2694.116887,2724.574124,2770.326278,2820.590568,2866.196812,2899.422548,2907.935747,2898.829694,2894.695418,2910.750702,2947.773868,2976.60871,3015.903509,3037.584029,3094.890816,3146.421126,3192.479766,3192.635057,3156.606217,3115.467159,3085.627114
25290,12,Jacksonville,city,FL,FL,"Jacksonville, FL",Duval County,985.7371545,990.0009797,995.3252456,1002.23708,1007.823715,1011.997761,1010.540567,1010.94766,1008.01422,1010.427089,1012.293472,1018.734265,1024.928295,1029.6917,1030.475357,1034.160919,1034.737082,1041.122031,1041.805905,1038.98003,1037.195666,1035.261166,1042.660309,1046.137135,1054.121617,1060.931162,1070.814277,1079.773879,1087.11854,1090.554566,1079.919859,1079.177509,1081.167996,1094.91099,1099.537516,1100.472537,1105.952342,1114.210278,1126.691905,1137.898508,1144.417765,1148.926968,1150.1265,1149.068912,1151.923341,1155.311048,1157.338153,1158.056315,1161.174598,1171.115972,1179.543431,1186.306965,1190.648815,1195.507489,1197.902556,1196.74945,1196.034232,1195.580616,1199.379465,1202.691438,1208.044416,1209.713636,1209.551297,1210.026838,1215.670623,1230.043152,1240.355394,1250.326543,1249.141066,1254.815261,1262.273314,1276.144408,1292.833338,1316.249265,1345.807427,,,1484.25976,1519.434981,1537.719182,1550.519588,1562.822989,1571.16838,1582.738607,1588.011566,1606.469467,1623.303878,1642.354481,1657.256558,1658.507767,1657.114134,1662.429121,1666.607377,1666.763678
24043,13,Charlotte,city,NC,NC,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,1054.932187,1063.530361,1075.609299,1089.175221,1096.859103,1103.215255,1105.07132,1103.845379,1103.706057,1107.341774,1111.82079,1117.239119,1124.735408,1130.005667,1135.90656,1142.285402,1150.466967,1155.583454,1158.600002,1163.587478,1163.292722,1160.694343,1163.268967,1165.566015,1176.128859,1185.011547,1199.557538,1209.909956,1217.777984,1221.278034,1223.144334,1219.354243,1219.713059,1216.826121,1217.616064,1221.545383,1231.197388,1243.9927,1255.074436,1265.574221,1271.818952,1276.170994,1275.51169,1273.184144,1279.286812,1287.400405,1295.265002,1298.444296,1303.767797,1312.364634,1324.09033,1333.353766,1342.526582,1343.484577,1346.387377,1349.982966,1348.085582,1347.518385,1347.006769,1352.141492,1358.925604,1348.339762,1339.635289,1332.885717,1342.204396,1346.966887,1349.464793,1349.112755,1356.8587,1360.471414,1373.180096,1380.499531,1400.330834,1422.303964,1452.792405,1485.052157,1517.283315,1556.563667,1589.030395,1615.034971,1628.469933,1641.526909,1650.437779,1658.876096,1667.146794,1687.255359,1720.168814,1756.158198,1785.831503,1795.493794,1794.625141,1792.065652,1783.539282,1780.796176
20330,14,San Francisco,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3232.520384,3259.535906,3293.979057,3313.272101,3352.240789,3382.662721,3388.658348,3409.652563,3396.933306,3401.736975,3407.212413,3408.090003,3409.142363,3386.696467,3380.043917,3383.874571,3402.093293,3401.236579,3376.163529,3336.462527,3303.45686,3280.480245,3276.819278,3285.237488,3305.630293,3321.517678,3357.257636,3380.433252,3404.239013,3402.280688,3408.039967,3419.275992,3402.858432,3378.608703,3371.215264,3386.031795,3413.397259,3420.991701,3439.402098,3454.447161,3479.151649,3502.212893,3514.099856,3508.47073,3500.2941,3491.660957,3488.311225,3495.668577,3509.152859,3527.492886,3536.798552,3563.752185,3591.168284,3606.60928,3593.441356,3574.382837,3558.940194,3550.394019,3552.341604,3567.945788,3561.872213,3541.015516,3500.170579,3454.622071,,,,,2991.058478,2949.028771,2943.932775,2945.795985,2992.456712,3035.116855,3096.653069,3168.645149,3254.81832,3320.36463,3352.371939,3338.439836,3323.423792,3305.603858,3326.307414,3351.501604,3389.52838,3415.974802,3449.790158,3472.819726,3486.739292,3496.962955,3512.665487,3512.711778,3497.429317,3464.805483
32149,15,Indianapolis,city,IN,IN,"Indianapolis-Carmel-Anderson, IN",Marion County,801.752479,807.3708254,810.8868741,812.9615398,815.3881687,818.7050012,821.4042955,823.459806,825.0361509,824.7742385,826.1364625,823.6324562,827.33445,833.2624172,838.7836978,842.7541813,846.57283,847.6897981,848.5746112,844.173522,844.3025775,842.5234839,845.8845096,850.8674386,857.4979518,863.677003,868.8658424,874.6128159,876.4712005,876.7784231,875.108361,878.3637589,881.4383395,885.005879,885.7917734,887.6379192,890.3169932,897.4256635,905.0099349,911.8042434,913.8563494,917.7073746,919.0393739,922.5195171,923.1261313,923.6634668,925.3679796,928.3560686,937.4101047,945.2918082,952.6049553,958.1548493,960.7317528,960.3445115,963.415902,963.5091007,962.6475182,958.7474127,962.7068862,971.9818633,982.3072632,988.5994278,999.4317864,1010.401075,1022.878035,1030.110847,1030.911598,1033.523652,1030.580998,1038.091025,1042.997884,1052.116341,1054.744857,1059.628264,1073.69296,1094.342326,1117.865674,1136.710846,1152.293981,1164.115068,1169.661379,1169.372457,1166.868942,1174.900657,1190.402856,1212.529742,1231.008336,1251.051489,1272.599743,1289.243305,1292.647052,1289.167191,1288.405855,1296.46114
18172,16,Fort Worth,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1113.607673,1123.014359,1132.90135,1141.822837,1144.641321,1150.68989,1150.447072,1152.837414,1145.378809,1147.596616,1149.880251,1162.0197,1173.408279,1185.589766,1198.64642,1201.90863,1208.36692,1210.266325,1213.264794,1211.277572,1211.408549,1212.698292,1220.753792,1225.708906,1236.711045,1242.301416,1257.56509,1267.89456,1278.205211,1277.977834,1279.307658,1279.456662,1279.319352,1279.21977,1283.856534,1291.720196,1295.302252,1304.755199,1314.008954,1330.144212,1335.197982,1338.809289,1341.215108,1348.235412,1351.335593,1347.848924,1345.314086,1344.753358,1352.944833,1364.435216,1382.248427,1392.674379,1396.068081,1392.392673,1388.754467,1387.076149,1384.43694,1386.960555,1386.566153,1398.462021,1408.131278,1411.589423,1408.493141,1413.377904,1423.550369,1436.939753,1442.093287,1448.50233,1452.984535,1457.693578,1465.280453,1464.072716,1473.840375,1490.430557,1518.797256,1549.579843,1576.834293,1603.341308,1623.064507,1639.788562,1651.902096,1664.396909,1673.34673,1696.814019,1718.342737,1747.830691,1773.642101,1795.638329,1811.422465,1810.543775,1805.715323,1793.549625,1787.187874,1778.321013
7481,17,Tucson,city,AZ,AZ,"Tucson, AZ",Pima County,862.3952545,866.5222085,869.1695128,872.8659808,876.8610077,875.4764161,875.8733343,874.7359734,872.8526991,873.7910492,877.0759541,886.1357912,891.2173205,893.7969461,899.3959837,898.9887296,900.0326241,899.6764961,901.9771425,902.7785738,900.8807157,905.8713877,910.2953062,921.3637565,928.8149313,937.0423476,944.5954292,948.0132929,950.1742966,949.9832881,952.2709582,954.7138173,955.8133992,955.5517166,958.1883704,965.2648815,973.5444343,984.9000429,989.3771278,999.6495125,1005.112339,1011.447312,1012.982268,1011.403048,1016.715446,1021.131284,1029.325197,1035.154859,1043.139761,1051.00446,1060.045139,1068.572038,1074.71368,1079.731251,1080.322378,1083.8944,1084.614017,1090.492925,1097.117086,1104.337562,1108.133882,1107.420049,1107.840489,1111.608295,1122.209943,1135.825592,1152.745827,1168.296948,1177.57615,1180.852067,1182.976204,1196.531458,1213.283586,1239.730085,1258.788169,1285.89561,1305.794008,1339.87477,1364.267022,1395.293228,1404.909253,1420.507597,1417.687941,1438.852903,1456.073247,1477.50292,1477.936261,1494.472026,1510.822597,1526.847353,1527.899715,1526.309456,1521.138861,1518.127436
10920,18,Columbus,city,OH,OH,"Columbus, OH",Franklin County,856.8228858,861.0963996,874.8461885,880.4868075,883.7071368,885.1779483,883.9284545,886.4382451,889.659946,889.0857735,892.6030945,889.3768211,896.3725265,901.8310008,910.4165324,921.3451798,922.9804354,917.9350086,909.5643757,908.4088478,912.4647051,919.2986434,921.1810444,925.3137817,933.1606379,945.3328767,955.7069703,961.9493056,963.3895173,963.0972111,961.0603996,962.4424816,965.4125314,967.2347186,970.924465,976.7395038,987.25715,999.7859566,1006.842659,1012.585384,1014.431657,1013.947814,1012.501513,1011.907167,1015.700149,1017.975834,1023.61808,1027.245894,1034.493462,1039.067689,1043.172232,1046.665218,1051.871022,1054.799895,1058.036421,1058.78267,1062.107124,1066.022329,1071.646514,1076.29242,1077.742324,1081.362587,1086.731764,1094.861975,1100.935923,1108.526399,1113.018569,1118.299602,1126.094152,1131.516882,1128.668317,1124.2505,1130.603687,1141.637844,1158.620045,1168.708981,1191.256907,1210.21044,1223.143412,1230.539166,1235.818774,1249.521944,1252.097994,1257.421373,1259.516536,1278.80925,1298.395196,1321.326591,1337.19334,1346.252881,1349.123582,1338.801865,1330.692765,1332.208415
12455,19,Louisville,city,KY,KY,"Louisville/Jefferson County, KY-IN",Jefferson County,846.4392375,864.9426435,861.5899161,866.4070293,863.4006335,869.1195365,872.9761029,862.4516709,861.8238217,861.1093696,869.7767448,871.4928718,878.1941016,883.3420204,892.8127909,900.5800965,905.4746703,912.6975023,908.1058406,908.2692917,903.115741,909.5730694,913.7892283,923.7707622,929.2946213,935.8443816,939.8517026,946.0802587,949.1305641,947.0022151,946.1133707,942.3567459,944.2411908,944.3334186,948.6178884,955.32614,960.0941399,967.448072,971.2358646,974.638271,975.6160788,975.6752789,975.7947968,977.4083853,977.2013395,975.6211088,978.2029631,982.1194158,990.2331514,997.7997502,1005.122719,1011.379359,1010.096329,1009.599456,1008.623851,1009.406834,1005.210123,1003.086789,1008.604604,1018.101946,1027.492939,1028.386294,1030.967388,1034.675831,1041.906342,1047.515188,1051.136358,1053.882284,1054.741317,1056.581851,1053.027337,1057.539627,1063.100806,1079.411138,1091.157712,1097.928104,1107.236796,1116.556022,1130.01234,1133.926675,1140.481854,1147.713556,1163.218024,1178.237435,1194.745457,1208.372758,1221.996383,1233.052376,1248.540406,1257.659946,1267.77232,1263.764249,1271.229708,1271.32154
